ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
71,Büttelkow-Wischuer,Büttelkow-Wischuer,Germany,11.71,54.09,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Buet.1,
72,Büttelkow-Wischuer,Büttelkow-Wischuer,Germany,11.71,54.09,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Buet.2,
73,Chilczyce,Chilczyce,Belarus,27.77,52.08,Whole,Tanged Point Technocomplex,Perstunian,Tanged Point (Unspecified),Szymczak 1991,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Chi.1,
74,Cichmiana,Cichmiana (1),Poland,18.78,52.08,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Cichmiana_1_4,
75,Dargow,Dargow,Germany,10.88,53.64,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Dar.1,Schwabedissen 1954
76,Depenau,Depenau,Germany,10.24,54.15,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,Y,N,N,2D,Y ,X,,,Dep.1,
77,Derežnyčia,Derežnyčia (30),Lithuania,24.54,54.22,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Der30.1,
78,Derežnyčia,Derežnyčia (6),Lithuania,24.54,54.22,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Der6.1,
79,Derežnyčia,Derežnyčia,Lithuania,24.54,54.22,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Der.1,
80,Derežnyčia,Derežnyčia (31),Lithuania,24.54,54.22,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),"Rimantienė 1971, 1996",Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Der31.1,
81,Dohnsen,Dohnsen,Germany,10.02,52.82,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest et al. 1999,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Doh.3,
82,Dohnsen,Dohnsen,Germany,10.02,52.82,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest et al. 1999,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Doh.5,
83,Dohnsen,Dohnsen,Germany,10.02,52.82,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest et al. 1999,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Doh.6,
84,Dohnsen,Dohnsen,Germany,10.02,52.82,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest et al. 1999,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Doh.7,
85,Dohnsen,Dohnsen,Germany,10.02,52.82,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest et al. 1999,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Doh.8,
86,Dohnsen,Dohnsen,Germany,10.02,52.82,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest et al. 1999,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Doh.10,
87,Dohnsen,Dohnsen,Germany,10.02,52.82,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest et al. 1999,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Doh.11,
88,Domaradzyn,Domaradzyn,Poland,19.64,51.97,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Domaradzyn_21,
89,Drantum,Drantum,Denmark,9.11,55.91,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Dran.1,
90,Duba,Duba,Lithuania,24.69,54.02,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Dub.2,
