ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
479,Stellmoor,Stellmoor (Ahrensburg),Germany,10.23,53.67,Whole,Ahrensburgian,Eggstedt-Stellmoor,Lyngby Point,Taute 1968,Excavation,Absolute,,,9810,100,K-4580,10140,105,K-4326,Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Ahr.Ste.4,
480,Süderfahrenstedt,Süderfahrenstedt,Germany,9.58,54.59,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Sud.1,
481,Suraż,Suraż,Poland,22.92,52.95,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Sur.1,
482,Swidry Wielkie,Swidry Wielkie (1),Poland,21.23,52.1,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y ,X,,,Sw.Wiel1.1,
483,Swinemünde,Swinemünde,Germany,14.21,53.92,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Swin.1,
484,Tieply Ruchey,Tieply Ruchey (2),Russia,33.73,56.67,Whole,Tanged Point Technocomplex,Podolian ,Tanged Point (Unspecified),Sorokin 2009,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Tie.Ruch.II.1,"In 2004 Sinitsyna identifys Tieply Rychey as Podolian site, while in 2015 she name it as bromme-lyngby"
485,Tieply Ruchey,Tieply Ruchey (2),Russia,33.73,56.67,Whole,Tanged Point Technocomplex,Podolian ,Tanged Point (Unspecified),Sorokin 2009,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Tie.Ruch.II.2,"In 2004 Sinitsyna identifys Tieply Rychey as Podolian site, while in 2015 she name it as bromme-lyngby"
486,Tieply Ruchey,Tieply Ruchey (2),Russia,33.73,56.67,Whole,Tanged Point Technocomplex,Podolian ,Tanged Point (Unspecified),Sorokin 2009,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Tie.Ruch.II.3,"In 2004 Sinitsyna identifys Tieply Rychey as Podolian site, while in 2015 she name it as bromme-lyngby"
487,Tieply Ruchey,Tieply Ruchey (2),Russia,33.73,56.67,Whole,Tanged Point Technocomplex,Podolian ,Tanged Point (Unspecified),Sorokin 2009,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Tie.Ruch.II.5,"In 2004 Sinitsyna identifys Tieply Rychey as Podolian site, while in 2015 she name it as bromme-lyngby"
488,Tolk,Tolk (A),Germany,9.62,54.61,Whole,Lyngby,Tolk-Sprenge ,Lyngby Point,Taute 1968,Mixed,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,Y,N,N,N,2D,Y ,X,,,Tol.A.2,
489,Tolk,Tolk (A),Germany,9.62,54.61,Whole,Lyngby,Tolk-Sprenge ,Lyngby Point,Taute 1968,Mixed,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,Y,N,N,N,2D,Y ,X,,,Tol.A.3,
490,Tolk,Tolk (A),Germany,9.62,54.61,Whole,Lyngby,Tolk-Sprenge ,Lyngby Point,Taute 1968,Mixed,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,Y,N,N,N,2D,Y ,X,,,Tol.A.4,
491,Tolk,Tolk (B),Germany,9.63,54.58,Whole,Lyngby,Tolk-Sprenge ,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Tol.B.1,
492,Tychów,Tychów (H),Poland,19.65,51.58,Whole,Unspecified,Swiderian,Tanged Point (Unspecified),Jakimowicz 1929; Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Tychow_H_8,"Some admixture (Chmielewska, 1978)"
493,Tychów,Tychów (H),Poland,19.65,51.58,Whole,Unspecified,Swiderian,Tanged Point (Unspecified),Jakimowicz 1929; Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Tychow_H_9,"Some admixture (Chmielewska, 1978)"
494,Tychów,Tychów (H),Poland,19.65,51.58,Whole,Unspecified,Swiderian,Tanged Point (Unspecified),Jakimowicz 1929; Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Tychow_H_10,"Some admixture (Chmielewska, 1978)"
495,Tychów,Tychów (H),Poland,19.65,51.58,Whole,Unspecified,Swiderian,Tanged Point (Unspecified),Jakimowicz 1929; Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Tychow_H_11,"Some admixture (Chmielewska, 1978)"
496,Tychów,Tychów (H),Poland,19.65,51.58,Whole,Unspecified,Swiderian,Tanged Point (Unspecified),Jakimowicz 1929; Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Tychow_H_12,"Some admixture (Chmielewska, 1978)"
497,Tychów,Tychów (H),Poland,19.65,51.58,Whole,Unspecified,Swiderian,Tanged Point (Unspecified),Jakimowicz 1929; Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Tychow_H_14,"Some admixture (Chmielewska, 1978)"
498,Uhlenkrug,Uhlenkrug,Germany,14.08,53.55,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Uhl.1,
499,Unbekannter Ort,Unbekannter Ort,Germany,13.36,54.37,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Unb.1,
500,Ust-Tudovka,Ust-Tudovka (1),Russia,33.82,56.42,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ust.1.1,
501,Ust-Tudovka,Ust-Tudovka (1),Russia,33.82,56.42,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ust.1.2,
502,Hollendskaer lokaliteter,Hollendskaer lokaliteter (Varbro 1),Denmark,9.91,57.51,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Var1.1,
503,Hollendskaer lokaliteter,Hollendskaer lokaliteter (Varbro 1),Denmark,9.91,57.51,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,Y,N,N,2D,N,X,,,Var1.2,Remade into burin
504,Hollendskaer lokaliteter,Hollendskaer lokaliteter (Varbro 3),Denmark,9.91,57.51,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Var3.1,
505,Hollendskaer lokaliteter,Hollendskaer lokaliteter (Varbro 4),Denmark,9.91,57.51,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Var4.1,
506,Hollendskaer lokaliteter,Hollendskaer lokaliteter (Varbro 4),Denmark,9.91,57.51,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Var4.2,
507,Hollendskaer lokaliteter,Hollendskaer lokaliteter (Varbro 4),Denmark,9.91,57.51,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Var4.3,
508,Varėna,Varėna,Lithuania,24.58,54.22,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1996,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Var.2,
509,Varėnė,Varėnė (2),Lithuania,24.55,54.25,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,"Šatavičius 2001, 2004",Excavation,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Var2.1,
510,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.2,
511,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.3,
512,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.4,
513,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.6,
514,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.7,
515,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.8,
516,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.9,
517,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.10,
518,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.11,
519,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.13,
520,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Vel.Mi.14,
521,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.15,
522,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Mesolithic,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.16,
523,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Mesolithic,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.17,
524,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Mesolithic,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.18,
525,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Mesolithic,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.19,
526,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Mesolithic,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.20,
527,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Mesolithic,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.21,
528,Velyky Midsk,Velyky Midsk,Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Mesolithic,Typology,N,N,N,N,2D,Y,X,,,Vel.Mi.25,
529,Vennebjerg,Vennebjerg,Denmark,9.85,57.45,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y ,X,,,Venn.1,
530,Vessem-Rouwven,Vessem-Rouwven,The Netherlands,5.29,51.42,Whole,Ahrensburgian,Unspecified,Ahrensburgian Point,Bohmers 1956; Arts and Deeben 1981,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,U,N,N,N,2D,N,X,,,Vessem_Rouwven_8,
531,Vessem-Rouwven,Vessem-Rouwven,The Netherlands,5.29,51.42,Whole,Ahrensburgian,Unspecified,Ahrensburgian Point,Bohmers 1956; Arts and Deeben 1981,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,U,N,N,N,2D,N,X,,,Vessem_Rouwven_9,
532,Vessem-Rouwven,Vessem-Rouwven,The Netherlands,5.29,51.42,Whole,Ahrensburgian,Unspecified,Ahrensburgian Point,Bohmers 1956; Arts and Deeben 1981,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,U,N,N,N,2D,N,X,,,Vessem_Rouwven_10,
533,Vesterborg,Vesterborg,Denmark,11.27,54.86,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Ves.1,
534,Viby,Viby,Denmark,9.84,55.45,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vib.1,
535,Viereck,Viereck,Germany,14.04,53.55,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Vier.1,
536,Vilnius,Vilnius (2),Lithuania,25.29,54.68,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vil2.1,
537,Vilnius,Vilnius (1),Lithuania,25.2,54.67,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971; Šatavičius 2001,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Vil1.1,
538,Vishegore,Vishegore,Russia,32.82,55.07,Whole,Tanged Point Technocomplex,Vyshegorian,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Vis.1,Sinitsyna highlight the similarity to Grensk
539,Vishegore,Vishegore,Russia,32.82,55.07,Whole,Tanged Point Technocomplex,Vyshegorian,Hamburgian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Vis.2,Sinitsyna highlight the similarity to Grensk
540,Vishegore,Vishegore,Russia,32.82,55.07,Whole,Tanged Point Technocomplex,Vyshegorian,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Vis.3,Sinitsyna highlight the similarity to Grensk
541,Vishegore,Vishegore,Russia,32.82,55.07,Whole,Tanged Point Technocomplex,Vyshegorian,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Vis.4,Sinitsyna highlight the similarity to Grensk
542,Wentorf bei Reinbek,Wentorf bei Reinbek,Germany,10.24,53.51,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Wen.Rei.1,Schwabedissen 1954
543,Witów,Witów (C),Poland,19.53,52.03,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Wit.C.1,
544,Witów,Witów (Site 1/1),Poland,19.83,49.32,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,N,N,Y,N,2D,Y,X,,,Witow_1_1_13,"Some admixture (Chmielewska, 1978)"
545,Witów,Witów (Site 1/2),Poland,19.83,49.32,Whole,Unspecified,Tarnowa-Swidry,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_2_9,"Some admixture (Chmielewska, 1978)"
546,Witów,Witów (Site 1/2),Poland,19.83,49.32,Whole,Unspecified,Tarnowa-Swidry,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_2_12,"Some admixture (Chmielewska, 1978)"
547,Witów,Witów (Site 1/3),Poland,19.83,49.32,Whole,Unspecified,Tarnowa-Swidry,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_3_2,
548,Witów,Witów (Site 1/3),Poland,19.83,49.32,Whole,Unspecified,Tarnowa-Swidry,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_3_5,
549,Witów,Witów (Site 1/3),Poland,19.83,49.32,Whole,Unspecified,Tarnowa-Swidry,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_3_6,
550,Witów,Witów (Site 1/3),Poland,19.83,49.32,Whole,Unspecified,Tarnowa-Swidry,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_3_18,
551,Witów,Witów (Site 1/4),Poland,19.83,49.32,Whole,Unspecified,Witow-Tarnowa,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_4_8,
552,Witów,Witów (Site 1/4),Poland,19.83,49.32,Whole,Unspecified,Witow-Tarnowa,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_4_9,
553,Witów,Witów (Site 1/4a),Poland,19.83,49.32,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_4a_18,
554,Witów,Witów (Site 1/7),Poland,19.83,49.32,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Witow_1_7_4,
555,Witów,Witów (Site 1/8),Poland,19.83,49.32,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Witow_1_8_9,
556,Witów,Witów (Site 1/9),Poland,19.83,49.32,Whole,Unspecified,Witow-Tarnowa,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_9_9,
557,Witów,Witów (Site 1/10),Poland,19.83,49.32,Whole,Unspecified,Swiderian,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Absolute,,,10815,160,Gro-828,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_10_20,
558,Witów,Witów (Site 1/Deflation Zone),Poland,19.83,49.32,Whole,Unspecified,Tarnowa-Swidry,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_def_10,
559,Witów,Witów (Site 1/Deflation Zone),Poland,19.83,49.32,Whole,Unspecified,Tarnowa-Swidry,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_def_12,
560,Witów,Witów (Site 1/Deflation Zone),Poland,19.83,49.32,Whole,Unspecified,Tarnowa-Swidry,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Stratigraphy/Typology,Y,N,N,N,2D,Y,X,,,Witow_1_def_13,
561,Wolkusz,Wolkusz (3),Poland,23.52,53.81,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Wol3.3,
562,Wolkusz,Wolkusz (3),Poland,23.52,53.81,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Wol5.1,
563,Wolkusz,Wolkusz (5),Poland,23.52,53.81,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Wol5.2,
564,Wolkusz,Wolkusz (5),Poland,23.52,53.81,Whole,Tanged Point Technocomplex,Perstunian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Wol5ws.1,
565,Woronowka,Woronowka,Belarus,30.81,53.13,Whole,Tanged Point Technocomplex,Perstunian,Tanged Point (Unspecified),Szymczak 1991,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Wor.1,
566,Woronowka,Woronowka,Belarus,30.81,53.13,Whole,Tanged Point Technocomplex,Perstunian,Tanged Point (Unspecified),Szymczak 1991,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Wor.2,
567,Žalioji,Žalioji (1),Lithuania,24.99,54.9,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1996; Šatavičius 2001,Excavation,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Zal1.1,
568,Zawadki,Zawadki (Unlabelled),Poland,23.29,50.43,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Piszykowa 1955; Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Zawadki_12,
569,Zawadki,Zawadki (Unlabelled),Poland,23.29,50.43,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Piszykowa 1955; Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Zawadki_13,
570,Zonhoven-Molenheide,Zonhoven-Molenheide (B),Belgium,5.42,50.99,Whole,Ahrensburgian,Unspecified,Ahrensburgian Point,Vermeersch 2015,Mixed,Absolute,,,7060,70,UtC-3195,10760,10,UtC-3720,Younger Dryas/Preboreal,Typology,Y,N,N,N,2D,Y,X,,,Zonhoven_Molenheide_1,"""At the site of Zonhoven-Molenheide it is not possible to make a definitive, clean split between artefacts belonging to an older Ahrensburgian and a younger Mesolithic occupation"" (Vermeersch, 2015: 83)"
571,Zusno,Zusno,Poland,22.68,54.15,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Zus.1,
